"","Year","Month","Total_Rain","Total_Snow","Total_Precip","Salinity","Temperature","outbreak","PAR","WSPD","GSPD","V_east","V_north","WDIR"
"1","2003","1",235.27,0,235.27,27.57,7.87,0,5.52,4.95,6.12,2.5,-1.37,118.72
"2","2003","2",22.43,0,22.43,27.92,7.74,0,13.75,3.8,4.76,0.05,0.36,7.91
"3","2003","3",189.64,10.77,200.4,27.83,8.21,0,18.03,5.92,7.34,2.79,-1.8,122.83
"4","2003","4",119.08,0,119.08,27.46,9.35,0,30.41,5.45,6.63,2.04,-1.25,121.5
"5","2003","5",40.12,0,40.12,26.59,12.52,0,42.13,4.28,5.25,0.28,-0.21,126.87
"6","2003","6",15.27,0,15.27,26.55,15.88,0,52.84,4.78,5.74,-1.12,0.77,-55.49
"7","2003","7",13.32,0,13.32,25.9,18.19,0,50.62,4.58,5.48,-0.85,0.9,-43.36
"8","2003","8",6.86,0,6.86,26.87,18.5,0,44.12,3.99,4.83,-1.04,0.79,-52.78
"9","2003","9",31.15,0,31.15,28.01,15.79,0,30.44,4.38,5.28,-0.78,0.72,-47.29
"10","2003","10",275.29,0,275.29,26.74,11.84,0,13.56,5.62,6.9,2.09,-0.93,113.99
"11","2003","11",119.94,1.75,121.68,27.15,8.93,0,8.95,5.12,6.37,0.59,0.18,73.03
"12","2003","12",186.4,9.53,195.94,27.47,7.9,0,4.21,6.35,7.89,3.43,-2.07,121.11
"13","2004","1",156.32,28.95,185.27,27.3,7.13,0.97,4.31,5.07,6.18,0.95,0.52,61.31
"14","2004","2",85.87,0,85.87,27.23,7.38,1,11.44,4.03,5.01,1.06,-0.49,114.81
"15","2004","3",84.01,0,84.01,27.92,8.46,0.03,22.15,5.27,6.45,1.02,-0.51,116.57
"16","2004","4",33.68,0,33.68,27.75,11.14,0,41,4.3,5.19,-0.49,0.23,-64.86
"17","2004","5",37.58,0,37.58,27.83,14.27,0,45.84,4.15,5.07,0.25,-0.14,119.25
"18","2004","6",22.65,0,22.65,25.28,16.8,0,54.09,4.67,5.61,-0.06,-0.15,-158.2
"19","2004","7",19.29,0,19.29,26.26,18.48,0,52.57,5.02,6.01,-1.01,0.93,-47.36
"20","2004","8",76.67,0,76.67,27.17,18.45,0,39.88,4.16,4.99,0.34,-0.32,133.26
"21","2004","9",115.76,0,115.76,26.26,15.24,0,27.53,4.76,5.79,-0.28,0.35,-38.66
"22","2004","10",140.47,0,140.47,27.12,12.53,0,14.95,5.13,6.24,0.62,-0.06,95.53
"23","2004","11",171.57,0,171.57,27.43,9.77,0,5.87,5.72,7.04,2.37,-0.99,112.67
"24","2004","12",189.05,1.54,190.58,27.16,8.37,0,3.67,4.88,6.03,1.17,-0.04,91.96
"25","2005","1",183.06,40.94,224.01,26.53,7.39,0,5.04,5.08,6.38,1.15,-0.39,108.73
"26","2005","2",46.33,0.52,46.86,25.22,7.48,0,16.2,4.11,5.05,-0.44,0.48,-42.51
"27","2005","3",123.81,1.15,124.97,27.74,8.91,0,23.47,5.17,6.31,1.77,-1.21,124.36
"28","2005","4",104.1,0,104.1,27.59,10.41,0,34.35,5.69,7.02,2.3,-1.79,127.89
"29","2005","5",90.51,0,90.51,27.42,13.08,0,43.47,4.84,5.82,1.15,-1.11,133.99
"30","2005","6",56.8,0,56.8,24.59,16.19,0,44.82,4.15,5.04,0.27,-0.24,131.63
"31","2005","7",38.46,0,38.46,25.56,17.21,0,46.06,5.03,6.02,-0.26,0.22,-49.76
"32","2005","8",27,0,27,26.87,18.73,0,44.91,4.08,4.9,-1.14,0.82,-54.27
"33","2005","9",32.97,0,32.97,27.74,15.68,0,32.04,4.02,4.89,-1.09,0.93,-49.53
"34","2005","10",165.13,0,165.13,28.88,11.39,0,11.91,5.26,6.41,3.04,-1.78,120.35
"35","2005","11",108.12,4.07,112.19,27.47,9.31,0,6.48,5.36,6.7,1.78,-0.89,116.57
"36","2005","12",203.71,1.27,204.98,27.66,8.18,0,4.09,4.97,6.22,2.52,-1.04,112.43
"37","2006","1",325.81,0,325.81,26.78,8.32,0,4.69,6.8,8.37,4.42,-2.48,119.3
"38","2006","2",91.76,3.12,94.87,26.65,7.36,0,13.45,4.83,6.03,-0.45,0.86,-27.62
"39","2006","3",126.89,2.28,129.17,27.73,7.96,0,20.17,5.79,7.12,2.16,-1.17,118.44
"40","2006","4",58.66,0,58.66,27.57,9.43,0,30.61,4.96,6,0.6,-0.55,132.51
"41","2006","5",47.43,0,47.43,27.84,12.26,0,46.96,4.46,5.37,-0.22,-0.07,-107.65
"42","2006","6",30.77,0,30.77,24.61,16.47,0,52.2,4.44,5.32,-0.18,0.01,-86.82
"43","2006","7",15.61,0,15.61,25.86,18.01,0,50.7,4.58,5.44,-0.12,0.11,-47.49
"44","2006","8",8.64,0,8.64,27.5,17.97,0,47.03,4.33,5.15,-1.92,1.48,-52.37
"45","2006","9",44.02,0,44.02,28.34,15.68,0,32.2,3.91,4.67,-1.07,0.66,-58.33
"46","2006","10",51.15,0,51.15,28.61,12.29,0,18.43,4.61,5.61,-1,1.17,-40.52
"47","2006","11",330.82,40.31,371.15,27.72,8.93,0,5.28,6.57,8.2,2.75,-1.76,122.62
"48","2006","12",237.25,5.56,242.81,27.94,7.8,0,3.46,6.48,8.02,3.56,-1.84,117.33
"49","2007","1",193.82,9.2,203.02,26.87,6.88,0,5.69,6.07,7.6,2.21,-0.59,104.95
"50","2007","2",103.5,3.75,107.24,27.47,7.39,1,9.26,5.1,6.31,2.92,-1.27,113.51
"51","2007","3",136.48,0.74,137.22,27.28,7.94,0,16.99,6.51,7.93,3.03,-1.31,113.38
"52","2007","4",84.45,0,84.45,27.25,9.31,1,30.37,4.67,5.76,1.46,-0.52,109.6
"53","2007","5",30.08,0,30.08,26.5,12.62,0,45.64,4.41,5.32,0.5,-0.47,133.23
"54","2007","6",65.27,0,65.27,24.46,15.11,0,44.24,4.51,5.49,1.96,-1.7,130.94
"55","2007","7",43.01,0,43.01,23.75,17.16,0,45.82,4.71,5.65,0.2,-0.31,147.17
"56","2007","8",30.07,0,30.07,24.65,17.76,0,41.49,3.89,4.72,-0.61,0.47,-52.39
"57","2007","9",99.72,0,99.72,26.63,15.8,0,28.87,4.89,5.92,-0.54,0.6,-41.99
"58","2007","10",151.41,0,151.41,27.23,10.99,0,13.81,5.43,6.66,2.36,-0.97,112.34
"59","2007","11",159.78,2.97,162.75,27.07,9.34,0,7.89,5.31,6.59,2.01,-0.6,106.62
"60","2007","12",197.99,22.65,220.61,27.26,7.72,0,4.1,6.32,7.84,2.98,-0.82,105.39
"61","2008","1",163.7,11.89,175.61,28.21,7.3,0,5.74,6.61,8.24,3.87,-1.52,111.44
"62","2008","2",57.53,1.73,59.26,28.5,7.31,0,12.4,4.62,5.71,1.3,-0.19,98.32
"63","2008","3",77.33,4.53,81.87,28.2,8.14,0,20.85,5.25,6.48,1.65,-1.06,122.72
"64","2008","4",43.34,6.57,49.92,28.03,9.01,0,35.6,4.39,5.44,0.26,-0.09,109.09
"65","2008","5",33.69,0,33.69,28.88,12.5,0,43.83,4.47,5.41,-0.04,0.12,-18.43
"66","2008","6",46.86,0,46.86,25.05,16.15,0,48.24,4.59,5.56,0.46,-0.32,124.82
"67","2008","7",26.04,0,26.04,23.92,17.42,0,50.24,4.51,5.44,-0.2,-0.15,-126.87
"68","2008","8",49.68,0,49.68,26.15,16.34,0,39.49,5.21,6.22,0.49,-0.63,142.13
"69","2008","9",23.7,0,23.7,26.98,15.35,0,32.3,4.29,5.16,-1.17,0.77,-56.65
"70","2008","10",113.31,0,113.31,27.94,11.24,0,13.31,5.07,6.2,0.68,-0.14,101.63
"71","2008","11",150.44,0,150.44,28.14,9.7,0,6.16,5.54,6.82,2.52,-1.2,115.46
"72","2008","12",77.46,67.28,144.73,27.33,7.86,0,4.3,5.67,7.18,1.18,-0.18,98.67
"73","2009","1",67.88,11.98,79.85,27.76,7.05,0,6.16,4.7,5.99,1.18,0.12,84.19
"74","2009","2",50.01,9.12,59.15,28.21,7.17,0,13.54,4.27,5.28,-0.08,0.31,-14.47
"75","2009","3",86.63,5.67,92.31,28.1,7.46,0,22.11,6.25,7.74,1.27,-0.82,122.85
"76","2009","4",33.92,0.43,34.35,28.52,9.36,0,38.38,4.98,6.05,-0.35,0.29,-50.36
"77","2009","5",70.84,0,70.84,27.45,12.5,0,45.03,4.49,5.47,-0.15,-0.05,-108.43
"78","2009","6",22.8,0,22.8,25.82,16.75,0,53.73,4.65,5.57,0.11,-0.31,160.46
"79","2009","7",31.1,0,31.1,26.19,18.53,0,54.5,4.67,5.56,-0.84,0.63,-53.13
"80","2009","8",17.15,0,17.15,26.74,17.67,0,43.17,4.57,5.51,0.36,-0.39,137.29
"81","2009","9",67.26,0,67.26,27.05,15.28,0,29.35,4.68,5.68,0.26,-0.4,146.98
"82","2009","10",162.23,0,162.23,27.79,11.68,0,15.58,5.25,6.39,0.91,-0.05,93.14
"83","2009","11",367.54,0,367.54,26.99,9.31,0,5.74,7.5,9.22,3.66,-3.21,131.25
"84","2009","12",95.55,9.23,104.79,26.29,7.29,0,4.93,4.29,5.48,0.36,0.61,30.55
"85","2010","1",259.51,0,259.51,25.29,8.12,0,4.65,5.52,6.76,3.09,-2.04,123.43
"86","2010","2",126.64,0,126.64,26.3,8.14,0,12.07,4.61,5.65,2.35,-1.29,118.76
"87","2010","3",111.85,0.57,112.42,26.87,8.55,0,20.07,5.68,6.99,1.84,-2.32,141.58
"88","2010","4",98.35,0,98.35,27.06,9.69,0,31.95,5.65,6.92,1.06,-0.58,118.69
"89","2010","5",78.94,0,78.94,26.61,12.15,0,40.57,4.6,5.57,0.49,-0.09,100.41
"90","2010","6",36.94,0,36.94,25.29,14.69,0,49.55,4.36,5.29,0.54,-0.26,115.71
"91","2010","7",1.4,0,1.4,25.26,18.41,0,57.17,5.16,6.2,-2.07,2.46,-40.08
"92","2010","8",29.49,0,29.49,26.21,18.81,0,45.87,4.18,5.05,-0.63,0.91,-34.7
"93","2010","9",93.62,0,93.62,26.68,14.5,0,26.97,4.38,5.31,0.85,-0.46,118.42
"94","2010","10",122.15,0,122.15,26.96,12.1,0,15.4,5.32,6.46,2.18,-1.5,124.53
"95","2010","11",147.85,12.63,160.48,26.87,9.54,0,6.66,5.78,7.32,2.56,-0.64,104.04
"96","2010","12",276.33,1.12,277.44,25.89,8.24,0,4.18,6.84,8.43,3.93,-2.16,118.79
"97","2011","1",129.56,30.65,160.2,26.69,7.22,0,5.67,5.08,6.28,2.01,-0.39,100.98
"98","2011","2",122.82,11.61,134.44,26.85,7.32,0,10.97,5.84,7.31,1.34,-0.55,112.32
"99","2011","3",210.28,3.97,214.25,26.93,7.77,0,18.83,6.49,7.99,3.81,-2.81,126.41
"100","2011","4",56.21,0,56.21,27.43,8.72,0,33.33,5.59,6.85,0.49,-0.71,145.39
"101","2011","5",71.1,0,71.1,26.34,11.88,0,39.62,4.41,5.34,0.63,-0.48,127.3
"102","2011","6",21.07,0,21.07,23.22,14.81,0,47.87,4.42,5.35,0.25,-0.11,113.75
"103","2011","7",43.91,0,43.91,21.08,17.04,0,44.93,3.89,4.73,0.39,0.01,88.53
"104","2011","8",7.08,0,7.08,21.86,18.31,0,46.34,4.09,4.93,-0.5,0.53,-43.33
"105","2011","9",81.21,0,81.21,25.34,15.36,0,28.13,4.79,5.8,0.66,-0.45,124.29
"106","2011","10",80.2,0,80.2,26.78,11.56,0,16.1,4.81,5.86,0.83,-0.29,109.26
"107","2011","11",198.88,1.47,200.35,27.38,9.28,0,7.11,6.79,8.4,2.65,-1,110.67
"108","2011","12",98.98,0.12,99.11,27.3,7.84,0,4.74,5.11,6.35,1.6,-0.15,95.36
"109","2012","1",192.53,18.93,211.45,27.02,7.21,0,5.15,6.85,8.52,3.12,-1.38,113.86
"110","2012","2",132.28,0.95,133.22,27.18,7.18,0,11.22,5.65,6.93,1.81,-0.31,99.72
"111","2012","3",148.54,1.4,149.95,27.67,7.21,0,20.32,6.72,8.26,2.91,-1.96,123.96
"112","2012","4",80.3,0,80.3,26.95,8.9,0,30.94,4.7,5.72,1.15,-0.7,121.33
"113","2012","5",51.22,0,51.22,25.2,11.9,0,47.11,4.65,5.63,-0.51,0.46,-47.95
"114","2012","6",66.89,0.04,66.92,23.46,13.7,0,42.02,4.54,5.5,1.25,-1.04,129.76
"115","2012","7",25.41,0,25.41,20.39,17.55,0,51.55,4.11,4.98,0.21,-0.3,145.01
"116","2012","8",5.95,0,5.95,23.02,17.73,0,42.53,4.29,5.16,-1.01,0.59,-59.71
"117","2012","9",5,0,5,26.25,15.14,0,33.2,3.96,4.77,-1.78,1.24,-55.14
"118","2012","10",195.24,0,195.24,27.48,10.83,0,14.08,4.65,5.71,1.28,-0.33,104.46
"119","2012","11",184.69,0,184.69,26.57,8.66,0,6.48,5.74,7.06,2.9,-1.24,113.15
"120","2012","12",198.77,8.85,207.6,27.48,7.61,0,3.67,6.27,7.76,2.96,-1.01,108.84
"121","2013","1",97.72,1.97,99.69,27.74,6.6,0,5.01,3.88,4.92,1.31,-0.04,91.75
"122","2013","2",97.17,0.14,97.31,28.36,7.39,0,9.34,5.45,6.68,2.59,-1,111.11
"123","2013","3",90.85,0.28,91.12,27.13,7.9,0,22.79,4.91,5.99,0.66,0.1,81.38
"124","2013","4",68.31,0,68.31,26.78,9.75,0,35.33,5.22,6.35,0.26,0.13,63.43
"125","2013","5",91.65,0,91.65,26.47,12.43,0,41.89,4.29,5.2,0.97,-0.76,128.08
"126","2013","6",56.96,0,56.96,22.57,15.83,0,46.76,4.16,5.06,0.22,-0.04,100.3
"127","2013","7",0.68,0,0.68,23.97,18.96,0,58.15,4.37,5.27,-1.86,1.71,-47.41
"128","2013","8",49.5,0,49.5,25.06,17.48,0,38.24,3.98,4.83,0.98,-0.89,132.24
"129","2013","9",139.83,0,139.83,26.13,15.21,0,27.86,4.37,5.36,0.45,-0.89,153.18
"130","2013","10",25.6,0,25.6,26.81,11.45,0,16.13,3.7,4.63,-0.32,0.6,-28.07
"131","2013","11",118.39,0,118.39,27.6,9.47,0,7.59,4.37,5.43,0.34,0.69,26.23
"132","2013","12",34.4,8.5,42.9,28.56,7.67,0,4.29,5.09,6.34,1.77,-0.43,103.65
"133","2014","1",106.72,0,106.72,27.63,7.43,0.29,5.87,4.05,5.11,0.08,0.37,12.2
"134","2014","2",129.9,29.09,159.01,27.94,6.93,0.21,12.75,4.95,6.33,1.03,-0.54,117.67
"135","2014","3",166.34,1.7,168.05,26.74,7.5,0,19.41,5.16,6.36,1.29,-0.46,109.63
"136","2014","4",65.15,0,65.15,27.25,9.19,0,32.56,5.01,6.08,0.93,-1.35,145.44
"137","2014","5",48.94,0,48.94,25.12,13.32,0,44.44,3.87,4.72,0.59,-0.44,126.71
"138","2014","6",24.71,0,24.71,24.02,15.97,0,50.99,4.88,5.9,0.21,0.19,47.86
"139","2014","7",27.59,0,27.59,24.2,17.94,0,50.53,4.35,5.25,0.13,0.52,14.04
"140","2014","8",16.87,0,16.87,25.5,19.46,0,44.68,3.93,4.73,-0.33,1.16,-15.88
"141","2014","9",52.66,0,52.66,27.38,15.47,0,30.03,4.05,4.91,0.05,0,90
"142","2014","10",220.1,0,220.1,27.51,12.55,0,11.71,5.08,6.21,2.47,-1.49,121.1
"143","2014","11",139.81,0.55,140.36,25.34,9.99,0,8.83,4.97,6.21,1.43,-0.27,100.69
"144","2014","12",210.75,0,210.75,25.67,8.79,0,4.88,5.07,6.31,2.14,-0.51,103.4
"145","2015","1",122.85,0.11,122.96,25.7,8.48,0,5.51,3.81,4.74,1.35,-0.39,106.11
"146","2015","2",156.13,0,156.13,25.15,8.97,0,12.49,4.19,5.1,1.06,-0.43,112.08
"147","2015","3",123.49,0,123.49,26.96,9.41,0,19.79,4.64,5.69,1.85,-0.75,112.07
"148","2015","4",46.74,0,46.74,25.77,10.89,0,33.98,4.96,6.03,0.82,-0.47,119.82
"149","2015","5",5.81,0,5.81,25.35,15.08,0,53.11,3.81,4.6,-0.78,0.43,-61.13
"150","2015","6",14.65,0,14.65,24.94,17.69,0,54.87,4.74,5.67,-1.86,1.4,-53.03
"151","2015","7",29.04,0,29.04,26.71,17.4,0,53.37,4.71,5.6,-1.14,0.69,-58.82
"152","2015","8",43.49,0,43.49,27.37,17.91,0,42.62,4.63,5.56,-0.6,0.57,-46.47
"153","2015","9",56.99,0,56.99,27.85,14.04,0,27.65,4.83,5.85,0.21,0.16,52.7
"154","2015","10",109.71,0,109.71,27.76,12.73,0,15.22,4.03,4.92,0.48,-0.24,116.57
"155","2015","11",132.66,0,132.66,27.79,10,0,8.34,5,6.23,0.14,0.96,8.3
"156","2015","12",297.04,1.01,298.03,27.2,9.05,0,4.01,7,8.69,3.5,-1.45,112.5
"157","2016","1",204.57,2.82,207.39,27.31,8,0,5.52,4.84,6.02,2.17,-0.78,109.77
"158","2016","2",166.95,0,166.95,25.87,8.32,0,10.45,4.63,5.71,2.67,-1.34,116.65
"159","2016","3",219.35,0,219.35,25.79,9.16,0,20.41,5.75,7.07,2.74,-1.79,123.16
"160","2016","4",24.85,0,24.85,26.12,11.26,0,35.64,4.62,5.58,0.3,-0.55,151.39
"161","2016","5",30.18,0,30.18,25.8,14.27,0,48.27,4.29,5.21,-1.41,0.94,-56.31
"162","2016","6",58.31,0,58.31,24.68,16.2,0,48.42,4.21,5.14,-0.01,-0.05,-168.69
"163","2016","7",30.51,0,30.51,24.72,17.69,0,50.37,4.75,5.73,-0.4,0.42,-43.6
"164","2016","8",28.12,0,28.12,26.7,17.93,0,42.1,4.5,5.37,-1.81,1.22,-56.02
"165","2016","9",56.92,0,56.92,27.51,14.44,0,28.64,4.39,5.3,-0.34,0.3,-48.58
"166","2016","10",338.24,0,338.24,27.23,11.65,0,11.4,5.77,7.09,3.19,-1.42,114
"167","2016","11",300.79,0,300.79,25.09,10.43,0.4,4.87,6.87,8.42,4.56,-2.5,118.73
"168","2016","12",98.89,19.51,118.39,25.62,7.99,0.87,4.92,5.93,7.46,1.98,-0.06,91.74
"169","2017","1",81.73,2.35,84.08,26.82,7.56,1,7.21,5.32,6.65,1.96,-0.6,107.02
"170","2017","2",101.97,60.05,162.06,26.62,7.24,1,11.98,4.81,5.95,0.53,0.17,72.22
"171","2017","3",152.82,9.75,162.56,27.16,8.04,0.84,17.64,6.12,7.52,3.15,-1.94,121.63
"172","2017","4",124.39,0,124.39,25.87,9.43,0,30.36,5.57,6.79,2.46,-1.45,120.52
"173","2017","5",56.18,0,56.18,24.06,12.66,0,43.57,4.12,4.97,0.14,-0.46,163.07
"174","2017","6",38.24,0,38.24,20.58,15.2,0,50.89,4.67,5.64,-0.21,-0.04,-100.78
"175","2017","7",4.47,0,4.47,22.93,17.72,0,53.35,4.1,4.96,-0.92,1.09,-40.17
"176","2017","8",3.78,0,3.78,25.18,18.2,0,46.03,3.81,4.58,-1.48,1.67,-41.55
"177","2017","9",45.49,0,45.49,27.54,15.55,0,29.59,3.29,4.04,-0.64,0.45,-54.89
"178","2017","10",124.58,0,124.58,28,11.81,0,17.94,4.48,5.54,0.2,-0.1,116.57
"179","2017","11",286.25,3.14,289.39,27.39,9.57,0,5.84,6.46,8.01,3.54,-2.22,122.09
"180","2017","12",90.95,11.81,102.76,26.57,7.83,0,5.12,3.84,4.86,-0.26,0.72,-19.86
"181","2018","1",318.01,2.14,320.16,26.77,8.01,0,4.75,5.89,7.32,3.23,-1.83,119.53
"182","2018","2",77.46,11.9,89.37,27.3,7.49,0,13.77,4.93,6.15,1.14,0.41,70.22
"183","2018","3",59.95,0,59.95,27.96,8.08,0.48,24.4,3.98,4.91,0.89,-0.3,108.63
"184","2018","4",121.44,0,121.44,27.79,9.52,0.57,32.29,4.98,6.05,1.32,-0.74,119.28
"185","2018","5",8.39,0,8.39,26.08,14.36,0,52.74,3.93,4.75,-0.63,0.13,-78.34
"186","2018","6",60.34,0,60.34,24.68,15.09,0,44.49,4.51,5.46,0.38,-0.47,141.04
"187","2018","7",9.55,0,9.55,26.12,17.83,0,56.81,4.42,5.29,-2.07,1.2,-59.9
"188","2018","8",8.11,0,8.11,26.83,18.07,0,46.47,3.62,4.36,-1.01,0.5,-63.66
"189","2018","9",162.54,0,162.54,27.99,13.99,0,27.78,4.52,5.45,0.62,-0.18,106.19
"190","2018","10",92.89,0,92.89,28.59,11.72,0,18.21,4.05,4.94,0.53,0.17,72.22
"191","2018","11",174.19,0,174.19,28.23,9.95,0,7.6,4.68,5.79,1.87,-0.55,106.39
"192","2018","12",276.85,0.03,276.88,27.19,8.5,0,4.49,6.75,8.33,3.49,-0.88,104.15
"193","2019","1",200.61,1.89,202.5,27.22,7.82,0,6.13,4.75,5.92,2.14,-0.73,108.84
"194","2019","2",27.23,45.22,72.46,28.32,6.78,0,14.22,4.9,6.22,-0.27,0.83,-18.02
"195","2019","3",11.41,0.74,12.15,28.97,8.09,0,29.41,3.75,4.56,0.06,0.27,12.53
"196","2019","4",83.85,0,83.85,28.64,9.85,0,34.21,5.54,6.71,0.35,-0.03,94.9
"197","2019","5",22.2,0,22.2,28.6,13.34,0,52.08,4.55,5.46,-1.11,0.75,-55.95
"198","2019","6",25.43,0,25.43,25.65,16.39,0,54.37,4.56,5.51,-0.76,0.5,-56.66
"199","2019","7",40.18,0,40.18,26.34,17.24,0,48.58,4.3,5.15,0.79,-0.91,139.04
"200","2019","8",30.87,0,30.87,25.93,17.76,0,44.43,4.51,5.4,0.26,-0.74,160.64
"201","2019","9",108.11,0,108.11,27.53,14.53,0,26.95,4.85,5.88,1.16,-0.37,107.69
"202","2019","10",106.97,0,106.97,27.91,11.59,0,15.56,4.99,6.13,0.99,-0.05,92.89
"203","2019","11",90.84,0,90.84,28.23,9.84,0,9.12,3.75,4.67,0.03,0.65,2.64
"204","2019","12",149.75,0,149.75,28.55,8.63,0,3.5,5.71,6.99,3.38,-0.89,104.75
